Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms,Spike Times (s),Cluster IDs,Unique_Cluster_IDs,Sorted_Cluster_IDs
403.9208,403.9272,403.9572,403.9272,4.843319416046143,36.4,"[403.9215, 403.9233, 403.9238, 403.9247, 403.9254, 403.9263, 403.9268666666667, 403.9270333333333, 403.9286, 403.9289, 403.92943333333335, 403.9300333333333, 403.93036666666666, 403.9309, 403.93196666666665, 403.9320333333333, 403.9326, 403.93283333333335, 403.9347, 403.9347, 403.9366, 403.93696666666665, 403.9379, 403.93856666666665, 403.9386666666667, 403.93873333333335, 403.93896666666666, 403.93913333333336, 403.9393333333333, 403.93943333333334, 403.93986666666666, 403.94123333333334, 403.9414, 403.9419, 403.9423, 403.94466666666665, 403.9447333333333, 403.94533333333334, 403.94556666666665, 403.94576666666666, 403.94616666666667, 403.9472, 403.94843333333336, 403.94873333333334, 403.9488, 403.9488333333333, 403.94893333333334, 403.9494, 403.95056666666665, 403.95163333333335, 403.9526333333333, 403.954, 403.95476666666667, 403.9556333333333, 403.9560333333333]","[170, 85, 228, 16, 60, 67, 85, 212, 190, 98, 85, 16, 63, 60, 67, 196, 190, 85, 216, 16, 85, 236, 212, 233, 60, 16, 173, 67, 63, 94, 233, 85, 216, 224, 196, 60, 16, 85, 67, 190, 63, 16, 67, 60, 236, 216, 196, 190, 196, 228, 60, 85, 67, 16, 85]","170,85,228,16,60,67,212,190,98,63,196,216,236,233,173,94,224","16,60,63,67,85,94,98,170,173,190,196,212,216,224,228,233,236"
414.4404,414.4696,414.4768,414.4696,3.375198602676392,36.4,"[414.4406333333333, 414.4457, 414.44573333333335, 414.44606666666664, 414.4483, 414.4526, 414.45283333333333, 414.4537666666667, 414.4569666666667, 414.4592333333333, 414.4592666666667, 414.45973333333336, 414.46226666666666, 414.4632, 414.4656, 414.4659, 414.46706666666665, 414.46743333333336, 414.4680333333333, 414.4685666666667, 414.47176666666667, 414.47183333333334, 414.47356666666667, 414.47453333333334, 414.475, 414.4757, 414.4762666666667]","[196, 103, 67, 173, 60, 67, 85, 60, 103, 85, 191, 60, 67, 170, 85, 216, 196, 60, 103, 67, 85, 110, 16, 212, 196, 85, 67]","196,103,67,173,60,85,191,170,216,110,16,212","16,60,67,85,103,110,170,173,191,196,212,216"
415.594,415.6036,415.628,415.6036,5.847684383392334,34.0,"[415.59403333333336, 415.5944, 415.59476666666666, 415.5955666666667, 415.5998333333333, 415.60093333333333, 415.60383333333334, 415.60656666666665, 415.6077666666667, 415.6080333333333, 415.60946666666666, 415.61083333333335, 415.61293333333333, 415.6154, 415.6202666666667, 415.62063333333333, 415.6217, 415.6234666666667]","[16, 236, 67, 226, 7, 85, 60, 85, 16, 233, 94, 60, 67, 85, 85, 170, 67, 63]","16,236,67,226,7,85,60,233,94,170,63","7,16,60,63,67,85,94,170,226,233,236"
447.62,447.6532,447.6616,447.6532,4.907128810882568,41.6,"[447.6211666666667, 447.62153333333333, 447.6235, 447.6236, 447.62463333333335, 447.6249666666667, 447.62846666666667, 447.62853333333334, 447.62893333333335, 447.6297333333333, 447.6338666666667, 447.6353, 447.6358666666667, 447.636, 447.6361333333333, 447.63963333333334, 447.6457, 447.6460333333333, 447.64613333333335, 447.6474666666667, 447.6485666666667, 447.65006666666665, 447.6512666666667, 447.6524333333333, 447.6544333333333, 447.6557, 447.65596666666664, 447.6564, 447.6573, 447.6589333333333, 447.6593, 447.6610333333333, 447.66116666666665, 447.6616]","[63, 16, 67, 85, 220, 60, 67, 220, 85, 16, 67, 220, 16, 60, 85, 63, 67, 85, 16, 236, 63, 16, 60, 85, 67, 16, 63, 233, 66, 60, 16, 85, 94, 63]","63,16,67,85,220,60,236,233,66,94","16,60,63,66,67,85,94,220,233,236"
460.182,460.2236,460.2404,460.2236,8.646173477172852,58.4,"[460.1834333333333, 460.1834666666667, 460.1838333333333, 460.1845, 460.18573333333336, 460.1893333333333, 460.19036666666665, 460.192, 460.19326666666666, 460.1942, 460.19486666666666, 460.1952, 460.196, 460.1992333333333, 460.2010333333333, 460.2015666666667, 460.2033, 460.2042666666667, 460.2069333333333, 460.2078, 460.2087333333333, 460.2090666666667, 460.21066666666667, 460.2112666666667, 460.2121333333333, 460.2125, 460.2126, 460.2128, 460.2149, 460.21546666666666, 460.2171, 460.2176, 460.2182, 460.21926666666667, 460.2196333333333, 460.2206, 460.2225666666667, 460.2231, 460.2244333333333, 460.22473333333335, 460.22476666666665, 460.2253, 460.22633333333334, 460.22763333333336, 460.2283, 460.2298333333333, 460.2298333333333, 460.2307666666667, 460.2308, 460.2332, 460.2333, 460.23336666666665, 460.23356666666666, 460.2337, 460.2383, 460.23946666666666, 460.23973333333333, 460.23993333333334]","[227, 85, 63, 67, 16, 85, 227, 196, 16, 227, 60, 67, 60, 60, 227, 67, 85, 200, 227, 67, 60, 16, 227, 85, 67, 200, 16, 230, 60, 85, 200, 16, 227, 67, 85, 60, 110, 227, 16, 85, 67, 196, 16, 227, 60, 103, 85, 63, 67, 16, 85, 110, 60, 94, 196, 16, 60, 85]","227,85,63,67,16,196,60,200,230,110,103,94","16,60,63,67,85,94,103,110,196,200,227,230"
460.406,460.4472,460.4568,460.4472,6.95835018157959,50.8,"[460.40613333333334, 460.4066, 460.4069333333333, 460.40936666666664, 460.41113333333334, 460.41116666666665, 460.4112666666667, 460.4128333333333, 460.4149, 460.4152, 460.4155333333333, 460.4157666666667, 460.4164666666667, 460.4168, 460.4177666666667, 460.4206, 460.42126666666667, 460.4225, 460.4227, 460.42293333333333, 460.42316666666665, 460.4232333333333, 460.4234666666667, 460.4251, 460.4262, 460.4275, 460.42783333333335, 460.4279666666667, 460.42833333333334, 460.43056666666666, 460.43086666666665, 460.4311333333333, 460.4313333333333, 460.43236666666667, 460.43236666666667, 460.4327, 460.43466666666666, 460.4347666666667, 460.43756666666667, 460.4384333333333, 460.4391, 460.43916666666667, 460.44033333333334, 460.4408, 460.44083333333333, 460.4408666666667, 460.4409, 460.4424333333333, 460.4438666666667, 460.4442666666667, 460.4444, 460.4452, 460.446, 460.4461, 460.4463666666667, 460.4470666666667, 460.44846666666666, 460.44866666666667, 460.44983333333334, 460.45303333333334, 460.4535, 460.4537, 460.45453333333336]","[85, 60, 67, 85, 60, 63, 190, 85, 94, 67, 60, 85, 63, 16, 190, 85, 67, 216, 63, 233, 60, 67, 16, 85, 190, 67, 60, 196, 16, 138, 94, 60, 67, 16, 196, 85, 67, 60, 227, 67, 85, 16, 63, 67, 94, 65, 196, 190, 236, 227, 63, 67, 60, 220, 85, 16, 94, 67, 190, 85, 16, 196, 60]","85,60,67,63,190,94,16,216,233,196,138,227,65,236,220","16,60,63,65,67,85,94,138,190,196,216,220,227,233,236"
460.5128,460.516,460.5416,460.516,3.084192991256714,28.8,"[460.5128, 460.5129, 460.5133, 460.51413333333335, 460.5154333333333, 460.5167333333333, 460.51736666666665, 460.5181, 460.5183, 460.5186, 460.52113333333335, 460.5226333333333, 460.5231333333333, 460.5232, 460.5232, 460.5233666666667, 460.5241, 460.52433333333335, 460.52436666666665, 460.5246, 460.5246333333333, 460.52506666666665, 460.5251333333333, 460.5253666666667, 460.5255, 460.52706666666666, 460.5283333333333, 460.5292, 460.5294, 460.5299, 460.53186666666664, 460.5323, 460.53316666666666, 460.53343333333333, 460.5351333333333, 460.5357666666667, 460.5359, 460.5373666666667, 460.53753333333333, 460.53886666666665, 460.5391333333333, 460.53993333333335, 460.54, 460.54063333333335, 460.54116666666664, 460.5412333333333, 460.5413]","[230, 224, 67, 85, 16, 67, 230, 216, 85, 224, 67, 233, 110, 85, 224, 103, 67, 16, 196, 94, 63, 196, 233, 60, 85, 16, 224, 67, 226, 85, 60, 67, 196, 16, 63, 195, 60, 85, 67, 191, 195, 66, 85, 60, 196, 67, 16]","230,224,67,85,16,216,233,110,103,196,94,63,60,226,195,191,66","16,60,63,66,67,85,94,103,110,191,195,196,216,224,226,230,233"
461.6172,461.65,461.6572,461.65,5.046731472015381,40.0,"[461.6177666666667, 461.61813333333333, 461.61923333333334, 461.61993333333334, 461.6220333333333, 461.62233333333336, 461.62373333333335, 461.6252666666667, 461.62693333333334, 461.6272333333333, 461.62763333333334, 461.6279333333333, 461.62923333333333, 461.62963333333335, 461.63033333333334, 461.63093333333336, 461.63143333333335, 461.6329333333333, 461.6340333333333, 461.63446666666664, 461.6354666666667, 461.6362, 461.63666666666666, 461.6385333333333, 461.63913333333335, 461.64003333333335, 461.64053333333334, 461.64053333333334, 461.6424333333333, 461.64276666666666, 461.6428666666667, 461.643, 461.6432, 461.6435333333333, 461.64383333333336, 461.6454, 461.64543333333336, 461.64633333333336, 461.6466, 461.6485333333333, 461.6489, 461.651, 461.65143333333333, 461.6519333333333, 461.65256666666664, 461.6526666666667, 461.6562]","[16, 85, 236, 67, 60, 236, 196, 94, 67, 85, 237, 16, 63, 196, 94, 67, 233, 236, 60, 67, 16, 236, 237, 85, 236, 63, 67, 196, 85, 66, 94, 65, 67, 216, 236, 63, 170, 196, 236, 67, 85, 216, 236, 237, 216, 120, 16]","16,85,236,67,60,196,94,237,63,233,66,65,216,170,120","16,60,63,65,66,67,85,94,120,170,196,216,233,236,237"
461.9728,461.9844,462.01,461.9844,7.720849990844727,37.2,"[461.97293333333334, 461.9791666666667, 461.9801, 461.98153333333335, 461.9830666666667, 461.98563333333334, 461.9859666666667, 461.98606666666666, 461.98653333333334, 461.98763333333335, 461.99016666666665, 461.9920666666667, 461.9938, 461.99396666666667, 461.99403333333333, 461.99466666666666, 461.9947666666667, 461.9963, 461.997, 461.99743333333333, 461.99756666666667, 461.9981, 461.99916666666667, 461.99923333333334, 462.00306666666665, 462.0031333333333, 462.0031333333333, 462.0040666666667, 462.0056333333333, 462.0058666666667, 462.0090333333333, 462.0099]","[85, 196, 63, 85, 60, 63, 196, 85, 67, 16, 60, 85, 67, 65, 196, 196, 16, 78, 63, 233, 85, 67, 196, 78, 16, 63, 78, 60, 85, 78, 78, 226]","85,196,63,60,67,16,65,78,233,226","16,60,63,65,67,78,85,196,226,233"
463.8964,463.906,463.9172,463.906,6.671216011047363,20.8,"[463.89723333333336, 463.8983666666667, 463.90026666666665, 463.9005, 463.9005, 463.90066666666667, 463.9018, 463.90183333333334, 463.9029, 463.9029, 463.90323333333333, 463.90743333333336, 463.9077, 463.90776666666665, 463.9086, 463.9102, 463.91153333333335, 463.91433333333333, 463.9143666666667, 463.9147, 463.91473333333334]","[196, 60, 196, 103, 85, 67, 138, 16, 60, 63, 196, 63, 85, 222, 67, 60, 172, 72, 235, 196, 85]","196,60,103,85,67,138,16,63,222,172,72,235","16,60,63,67,72,85,103,138,172,196,222,235"
