Start,Peak,Stop,Trough,Max_Envelope_Amp,Duration_ms
3435.1968,3435.2152,3435.22,3435.2152,3.0362446308135986,23.2
3435.5904,3435.6056,3435.6244,3435.6056,6.73803186416626,34.0
3435.8968,3435.91,3435.9272,3435.91,5.4771246910095215,30.4
3436.5084,3436.5412,3436.5504,3436.5412,5.751420974731445,42.0
3437.2988,3437.3016,3437.3188,3437.3016,2.5463972091674805,20.0
3439.7564,3439.7624,3439.794,3439.7624,3.2648987770080566,37.6
3439.9704,3439.9784,3440.0076,3439.9784,5.3467254638671875,37.2
3440.8784,3440.8876,3440.8992,3440.8876,4.033973693847656,20.8
3442.2756,3442.2844,3442.2984,3442.2844,4.065428733825684,22.8
3442.438,3442.4512,3442.4584,3442.4512,3.7417073249816895,20.4
3443.1076,3443.1144,3443.1292,3443.1144,3.590909242630005,21.6
3444.8312,3444.8612,3444.8912,3444.8612,5.426051139831543,60.0
3445.7332,3445.7728,3445.784,3445.7728,7.213356018066406,50.8
3451.3148,3451.3216,3451.3348,3451.3216,5.124759197235107,20.0
3451.8688,3451.874,3451.896,3451.874,3.766496419906616,27.2
3452.0344,3452.054,3452.06,3452.054,2.7166433334350586,25.6
3453.8168,3453.8384,3453.8472,3453.8384,7.760281562805176,30.4
3453.9384,3453.95,3453.9768,3453.95,8.924558639526367,38.4
3454.4376,3454.446,3454.4724,3454.446,4.631175994873047,34.8
3454.764,3454.7736,3454.8232,3454.7736,3.8306498527526855,59.2
3455.5176,3455.5268,3455.5572,3455.5268,4.679024696350098,39.6
3457.6512,3457.664,3457.6908,3457.664,6.608902931213379,39.6
3459.7684,3459.8056,3459.8328,3459.8056,3.5896170139312744,64.4
